,Financial Year,2014-2015,,,,,,2015-2016,,,,,,,,
,Quarter,Qtr 3 Jan-Mar 2015,,,Qtr 4 Apr-Jun 2015,,,Qtr 1 Jul-Sep 2015,,,Qtr 2 Oct-Dec 2015,,,Qtr 3 Jan-Mar 2016,,
LGA Name,Final Dispatch Code,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number
Strathbogie (S),Code 1,39.49%,1243,157,39.38%,1167,160,39.10%,1270,156,39.90%,1158,208,29.85%,1366,201
Surf Coast (S),Code 1,46.24%,1106,372,48.07%,1061,337,46.18%,1074,301,49.87%,1027,375,46.29%,1076,404
Swan Hill (RC),Code 1,69.10%,845,288,74.33%,805,335,74.24%,771,330,75.16%,816,314,70.11%,834,281
Towong (S),Code 1,26.92%,1512,78,39.53%,1293,86,34.67%,1532,75,38.55%,1473,83,35.96%,1597,114
Unincorporated Vic,Code 1,20.00%,2659,15,66.67%,1343,13,72.41%,744,116,20.00%,3531,5,13.33%,2868,15
Wangaratta (RC),Code 1,72.45%,813,363,76.59%,767,393,74.51%,777,455,75.29%,808,429,71.50%,872,428
Warrnambool (C),Code 1,89.86%,600,424,89.57%,623,422,89.93%,623,447,90.61%,614,426,88.50%,639,461
Wellington (S),Code 1,49.00%,1108,598,55.44%,1068,570,52.46%,1025,610,55.72%,1059,594,51.24%,1087,644
West Wimmera (S),Code 1,29.79%,1376,47,27.03%,1378,37,40.38%,1357,52,34.62%,1731,52,34.62%,1312,26
Whitehorse (C),Code 1,88.90%,631,1729,89.53%,622,1758,87.98%,640,1997,88.98%,628,1887,90.33%,627,1769
Whittlesea (C),Code 1,69.24%,833,2126,72.66%,805,2323,65.62%,881,2536,69.10%,825,2340,69.84%,823,2397
Wodonga (RC),Code 1,73.77%,806,507,80.16%,746,489,86.75%,662,604,82.25%,708,569,82.94%,697,592
Wyndham (C),Code 1,74.03%,785,1848,75.35%,777,1838,68.94%,831,2144,74.42%,786,2064,74.50%,796,2031
Yarra (C),Code 1,89.54%,613,1252,89.88%,605,1285,88.05%,632,1381,89.45%,617,1460,88.24%,641,1284
Yarra Ranges (S),Code 1,62.40%,902,1851,62.46%,896,1942,62.45%,913,1952,57.89%,946,1964,61.63%,920,1931
Yarriambiack (S),Code 1,33.33%,1381,81,34.34%,1420,99,27.10%,1487,107,23.96%,1429,96,25.00%,1358,100
Interstate LGAs,Code 1,52.88%,1106,296,52.06%,1086,268,52.49%,1096,301,55.31%,1075,311,49.13%,1161,287
Total AV,Code 1,75.09%,786,76843,76.52%,769,78388,74.63%,790,85473,75.64%,783,82396,75.55%,781,80899
,,,,,,,,,,,,,,,,
NOTE: ,,,,,,,,,,,,,,,,
"1. The ""Total AV"" result includes a small number of incidents for which no LGA was able to be determined",,,,,,,,,,,,,,,,
2. Incidents responded to by AV resources outside the Victorian LGA Boundaries,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Financial Year,,2014-2015,,,,,,2015-2016,,,,,,,
,Quarter,,Qtr 3 Jan-Mar 2015,,,Qtr 4 Apr-Jun 2015,,,Qtr 1 Jul-Sep 2015,,,Qtr 2 Oct-Dec 2015,,,Qtr 3 Jan-Mar 2016,
LGA Name,Final Dispatch Code,,AVG RT - Seconds,Total Number,,AVG RT - Seconds,Total Number,,AVG RT - Seconds,Total Number,,AVG RT - Seconds,Total Number,,AVG RT - Seconds,Total Number
Alpine (S),Code 2,,2756,127,,2184,131,,2267,140,,1955,143,,2051,140
Ararat (RC),Code 2,,1780,99,,1849,117,,2086,127,,1996,132,,1852,146
Ballarat (C),Code 2,,1264,780,,1336,743,,1325,757,,1398,810,,1240,788
Banyule (C),Code 2,,1693,851,,1667,860,,1989,838,,1782,827,,1664,797
Bass Coast (S),Code 2,,1692,415,,1680,384,,1768,399,,1677,429,,1776,462
Baw Baw (S),Code 2,,1949,323,,2051,368,,2075,348,,2188,384,,1918,397
Bayside (C),Code 2,,1856,630,,1887,639,,1897,643,,1871,656,,1911,672
Benalla (RC),Code 2,,1575,148,,1534,143,,1488,152,,1611,172,,1778,153
Boroondara (C),Code 2,,1658,866,,1660,899,,1917,942,,1695,928,,1560,891
Brimbank (C),Code 2,,1646,1353,,1691,1327,,1925,1239,,1703,1326,,1639,1330
Buloke (S),Code 2,,2525,55,,2713,53,,2692,65,,3090,68,,2535,54
Campaspe (S),Code 2,,1909,368,,1818,342,,1788,372,,1724,379,,1751,370
Cardinia (S),Code 2,,1486,544,,1561,554,,1624,558,,1465,623,,1502,521
Casey (C),Code 2,,1411,1717,,1407,1753,,1528,1859,,1439,1795,,1402,1738
