lga_name,dispatch_code,percent_less_15_mins_q3_2014,average_response_time_seconds_q3_2014,total_number_q3_2014,percent_less_15_mins_q4_2014,average_response_time_seconds_q4_2014,total_number_q4_2014,percent_less_15_mins_q1_2015,average_response_time_seconds_q1_2015,total_number_q1_2015,percent_less_15_mins_q2_2015,average_response_time_seconds_q2_2015,total_number_q2_2015,percent_less_15_mins_q3_2016,average_response_time_seconds_q3_2016,total_number_q3_2016,average_percent_under_15_minutes_2014-2016,average_response_time_seconds_2014-2016
Queenscliffe (B),Code 1,0.2424,1286,66,0.4000,1047,45,0.2830,1129,53,0.2698,1126,63,0.2742,1120,62,0.2939,1141.6
South Gippsland (S),Code 1,0.4346,1186,405,0.3772,1233,395,0.4391,1136,394,0.4393,1194,412,0.4061,1197,458,0.4193,1189.2
Southern Grampians (S),Code 1,0.6536,898,179,0.6531,926,196,0.6853,881,197,0.6411,965,209,0.7117,833,163,0.6690,900.6
Stonnington (C),Code 1,0.8673,667,1115,0.8675,681,1155,0.8505,686,1224,0.8474,676,1258,0.8686,679,1218,0.8603,677.8
Strathbogie (S),Code 1,0.3949,1243,157,0.3938,1167,160,0.3910,1270,156,0.3990,1158,208,0.2985,1366,201,0.3754,1240.8
Surf Coast (S),Code 1,0.4624,1106,372,0.4807,1061,337,0.4618,1074,301,0.4987,1027,375,0.4629,1076,404,0.4733,1068.8
Swan Hill (RC),Code 1,0.6910,845,288,0.7433,805,335,0.7424,771,330,0.7516,816,314,0.7011,834,281,0.7259,814.2
Towong (S),Code 1,0.2692,1512,78,0.3953,1293,86,0.3467,1532,75,0.3855,1473,83,0.3596,1597,114,0.3513,1481.4
Unincorporated Vic,Code 1,0.2000,2659,15,0.6667,1343,13,0.7241,744,116,0.2000,3531,5,0.1333,2868,15,0.3848,2229
Wangaratta (RC),Code 1,0.7245,813,363,0.7659,767,393,0.7451,777,455,0.7529,808,429,0.7150,872,428,0.7407,807.4
Warrnambool (C),Code 1,0.8986,600,424,0.8957,623,422,0.8993,623,447,0.9061,614,426,0.8850,639,461,0.8969,619.8
Wellington (S),Code 1,0.4900,1108,598,0.5544,1068,570,0.5246,1025,610,0.5572,1059,594,0.5124,1087,644,0.5277,1069.4
West Wimmera (S),Code 1,0.2979,1376,47,0.2703,1378,37,0.4038,1357,52,0.3462,1731,52,0.3462,1312,26,0.3329,1430.8
Whitehorse (C),Code 1,0.8890,631,1729,0.8953,622,1758,0.8798,640,1997,0.8898,628,1887,0.9033,627,1769,0.8914,629.6
Whittlesea (C),Code 1,0.6924,833,2126,0.7266,805,2323,0.6562,881,2536,0.6910,825,2340,0.6984,823,2397,0.6929,833.4
Wodonga (RC),Code 1,0.7377,806,507,0.8016,746,489,0.8675,662,604,0.8225,708,569,0.8294,697,592,0.8117,723.8
Wyndham (C),Code 1,0.7403,785,1848,0.7535,777,1838,0.6894,831,2144,0.7442,786,2064,0.7450,796,2031,0.7345,795
Yarra (C),Code 1,0.8954,613,1252,0.8988,605,1285,0.8805,632,1381,0.8945,617,1460,0.8824,641,1284,0.8903,621.6
Yarra Ranges (S),Code 1,0.6240,902,1851,0.6246,896,1942,0.6245,913,1952,0.5789,946,1964,0.6163,920,1931,0.6137,915.4
Yarriambiack (S),Code 1,0.3333,1381,81,0.3434,1420,99,0.2710,1487,107,0.2396,1429,96,0.2500,1358,100,0.2875,1415
Interstate LGAs,Code 1,0.5288,1106,296,0.5206,1086,268,0.5249,1096,301,0.5531,1075,311,0.4913,1161,287,0.5237,1104.8
,,,,,,,,,,,,,,,,,,
